Timestamp,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : CLOSE,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : HIGH,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : LOW
10/17/2025,361.2,361.22,361.18
10/16/2025,369.96,369.98,369.94
10/15/2025,368.59,368.61,368.57
10/14/2025,363.28,363.3,363.26
10/13/2025,374.79,374.81,374.77
10/10/2025,382.63,382.65,382.61
10/9/2025,393.21,393.23,393.19
10/8/2025,395.16,395.18,395.14
10/7/2025,392.33,392.35,392.31
10/6/2025,387.56,387.58,387.54
10/3/2025,383.18,383.2,383.16
10/2/2025,391.21,391.23,391.19
10/1/2025,397.91,397.93,397.89
9/30/2025,400.82,400.84,400.8
9/29/2025,411.03,411.05,411.01
9/26/2025,412.93,412.95,412.91
9/25/2025,407.29,407.31,407.27
9/24/2025,406.75,406.77,406.73
9/23/2025,395.37,395.39,395.35
9/22/2025,393.53,393.55,393.51
9/19/2025,391.64,391.66,391.62
9/18/2025,397.47,397.49,397.45
9/17/2025,397.72,397.74,397.7
9/16/2025,393.36,393.38,393.34
9/15/2025,392.54,392.56,392.52
9/12/2025,384.59,384.61,384.57
9/11/2025,393.09,393.11,393.07
9/10/2025,396.3,396.32,396.28
9/9/2025,396.88,396.9,396.86
9/8/2025,389.16,389.18,389.14
9/5/2025,388.6,388.62,388.58
9/4/2025,387.14,387.16,387.12
9/3/2025,396.17,396.19,396.15
9/2/2025,400.91,400.93,400.89
9/1/2025,398.62,398.64,398.6
8/29/2025,400.85,400.87,400.83
8/28/2025,392.92,392.94,392.9
8/27/2025,392.37,392.39,392.35
8/26/2025,396.53,396.55,396.51
8/25/2025,398.18,398.2,398.16
8/22/2025,390.51,390.53,390.49
8/21/2025,387.45,387.47,387.43
8/20/2025,387.05,387.07,387.03
8/19/2025,383.48,383.5,383.46
8/18/2025,387.78,387.8,387.76
8/15/2025,387.96,387.98,387.94
8/14/2025,388.14,388.16,388.12
8/13/2025,388.46,388.48,388.44
8/12/2025,396.59,396.61,396.57
8/11/2025,392.53,392.55,392.51
8/8/2025,402.26,402.28,402.24
8/7/2025,403.54,403.56,403.52
8/6/2025,406.62,406.64,406.6
8/5/2025,406.41,406.43,406.39
8/4/2025,404.52,404.54,404.5
8/1/2025,412.88,412.9,412.86
7/31/2025,411.4,411.42,411.38
7/30/2025,412.47,412.49,412.45
7/29/2025,404.23,404.25,404.21
7/28/2025,398.29,398.31,398.27
7/25/2025,403.24,403.26,403.22
7/24/2025,401.2,401.22,401.18
7/23/2025,398.98,399,398.96
