Trade_#,Trade_Type,Direction,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Units,Entry_Notional,Conviction,Realized_PnL,Unrealized_PnL,PnL_Pct
1,NEW,SHORT,2021-04-19,67.05000305175781,2021-04-26,65.6500015258789,32796.96187559135,2199036.3938467843,0.517478,35956.90541603439,0.0,1.6351209792001127
2,ADD_ON,SHORT,2021-04-20,66.56999969482422,2021-04-26,65.6500015258789,4958.37698780782,330079.15456519,0.40988898,5397.19350426179,0.0,1.635120979200113
3,NEW,LONG,2021-04-26,65.6500015258789,2021-05-24,68.45999908447266,26941.128902415287,1768685.153552464,0.38359094,46232.16224706726,0.0,2.613928327164866
4,ADD_ON,LONG,2021-04-27,66.41999816894531,2021-05-24,68.45999908447266,19844.411087136912,1318065.7480714316,0.79612815,34453.293959496645,0.0,2.6139283271648655
5,REDUCE,LONG,2021-04-28,67.2699966430664,2021-05-24,68.45999908447266,4091.672507629839,275246.7958527864,0.7231697,7194.753966409631,0.0,2.6139283271648655
6,REDUCE,LONG,2021-05-04,68.87999725341797,2021-05-24,68.45999908447266,3614.4155244875947,248960.9313994168,0.667331,6507.660309422844,0.0,2.613928327164866
7,ADD_ON,LONG,2021-05-05,68.95999908447266,2021-05-24,68.45999908447266,4722.339483133386,325652.5264334474,0.7691965,8512.323636571933,0.0,2.613928327164866
8,ADD_ON,LONG,2021-05-06,68.08999633789062,2021-05-24,68.45999908447266,1572.0713790108857,107042.33443975387,0.7905545,2798.009901979279,0.0,2.6139283271648655
9,ADD_ON,LONG,2021-05-07,68.27999877929688,2021-05-24,68.45999908447266,1094.9877802117553,74765.76429620365,0.8163903,1954.3234919597824,0.0,2.6139283271648655
10,ADD_ON,LONG,2021-05-10,68.31999969482422,2021-05-24,68.45999908447266,4018.911085384272,274572.00412697915,0.9020368,7177.115394339391,0.0,2.6139283271648655
11,ADD_ON,LONG,2021-05-11,68.55000305175781,2021-05-24,68.45999908447266,151.9609577762676,10416.924119311185,0.9088621,272.29093037394426,0.0,2.613928327164866
12,REDUCE,LONG,2021-05-12,69.31999969482422,2021-05-24,68.45999908447266,218.35970640980668,15136.694781689705,0.9162533,395.66235269507314,0.0,2.613928327164865
13,ADD_ON,LONG,2021-05-13,67.05000305175781,2021-05-24,68.45999908447266,4107.151566582455,275384.5250733855,0.9661137,7198.354109521655,0.0,2.6139283271648655
14,REDUCE,LONG,2021-05-14,68.70999908447266,2021-05-24,68.45999908447266,5557.940989888986,381886.1203268253,0.8758389,9982.22947673379,0.0,2.6139283271648655
15,REDUCE,LONG,2021-05-17,69.45999908447266,2021-05-24,68.45999908447266,12832.68284937412,891358.1389688543,0.61104894,23299.462890996452,0.0,2.613928327164866
16,REDUCE,LONG,2021-05-18,68.70999908447266,2021-05-24,68.45999908447266,5287.96354528228,363335.97035507025,0.49007916,9497.34185189052,0.0,2.613928327164866
17,ADD_ON,LONG,2021-05-20,65.11000061035156,2021-05-24,68.45999908447266,19507.26366661156,1270117.9492393676,0.84919,33199.9728635733,0.0,2.6139283271648655
18,NEW,SHORT,2021-05-24,68.45999908447266,2021-06-14,72.86000061035156,26715.08474718516,1828914.6773339054,0.39998567,-47146.4573248991,0.0,-2.577837988244848
19,ADD_ON,SHORT,2021-05-25,68.6500015258789,2021-06-14,72.86000061035156,3654.508284338335,250881.99929616382,0.31431115,-6467.331483524684,0.0,-2.5778379882448483
20,REDUCE,SHORT,2021-05-26,68.87000274658203,2021-06-14,72.86000061035156,3566.8689486613184,245650.27429100315,0.39048564,-6332.4660889011475,0.0,-2.5778379882448483
21,REDUCE,SHORT,2021-05-27,69.45999908447266,2021-06-14,72.86000061035156,2310.2026215329934,160466.67197662804,0.44401142,-4136.570828685768,0.0,-2.5778379882448483
22,REDUCE,SHORT,2021-06-04,71.88999938964844,2021-06-14,72.86000061035156,7133.71892707541,512843.04931337474,0.62118673,-13220.262945273435,0.0,-2.5778379882448483
